mock1	mock2	mock3	hrcc1	hrcc2	hrcc3
AT1G01010	7.80162317936967	16.5508450094481	6.12023054995178	9.28157572050303	19.0503953431875	8.57463437402188
AT1G01020	7.73951162929904	7.81034353047879	3.95353825418949	7.00584479593315	9.37382414542931	5.6544271906176
AT1G01030	3.91688740013603	5.66558640094105	4.36903292671654	5.98317662112438	11.4418497865685	3.1390521772597
AT1G01040	4.5057290471498	2.59485773265075	2.74918151305926	3.73872451515501	2.0891983648894	3.61095868497692
AT1G01050	12.4912480804363	19.1741834118542	15.7486426487607	15.4607839428256	15.318962768682	9.8063736868224
AT1G01060	0	1.62824136216673	0.154538205184071	0	3.1567587347942	0.577367620584781
AT1G01070	3.6900544316831	7.56143508032572	0.94984973446242	1.87889388953382	6.15956267579977	0.147863242093446
AT1G01080	49.8727230523411	54.0331203434296	76.9251564822376	33.7260000043795	38.3925827409174	34.6082323338809
AT1G01090	81.6750903956085	93.6451424459651	108.466567083022	43.4449898419564	43.4772150380508	81.51588941712
AT1G01100	50.8015943700532	54.1902847423343	75.9145237108619	31.7424509017597	16.2095051376347	104.052743518084
AT1G01110	0	0.198741875583133	0.141471099407504	0	0	0
AT1G01120	60.7241303337045	48.5401128734653	49.3606745894808	35.4397578879472	29.5196797969036	29.7114016032129
AT1G01130	2.38694953848091	2.81323449894656	0.182050381723133	0	0.708333557841054	1.53034966397396
AT1G01140	26.4578102552614	16.9148865669714	14.2480205399809	21.3033623076228	14.2496853931519	12.5582046381689
AT1G01150	0	0.481929409763843	0	0	0	0
AT1G01160	33.6603333381571	34.6780832395484	42.4582291003374	22.3963866627669	17.6724790560105	39.1035193749241
AT1G01170	46.377742664374	34.4480992228222	35.2762656648986	20.4233670371631	18.4122838201137	11.6526128964274
AT1G01180	19.7834455229235	2.90305096833934	7.6755289341806	9.34334308332802	10.3376946030833	15.9926166792804
AT1G01190	0	0.803921806617047	0.381505580160456	0.251551544551139	0.742193458682907	0.356334164737283
AT1G01200	1.48842873908936	0	0.408675783338452	0	0	0
AT1G01210	106.163583993604	116.751946019157	40.1210703286668	110.676746783054	66.1059810546226	54.681326482621
AT1G01220	3.07529705895853	5.58884835626039	3.24761532222652	2.24843312271855	2.3692564805944	2.57833934915144
