mock1	mock2	mock3	hrcc1	hrcc2	hrcc3
AT1G01010	4.21502609462037	5.26268936023186	3.88333571633735	4.45362060655533	5.46503117472298	4.34553322134554
AT1G01020	4.49925794360876	4.51103777424749	3.58271572767714	4.36035233191383	4.76870599591251	4.06727697407702
AT1G01030	3.16457134617791	3.65197149008951	3.30735691557022	3.72507703049038	4.61788936577321	2.88013201874552
AT1G01040	5.2201730086392	4.44803188081794	4.52884349600035	4.95682163647286	4.15295833105481	4.9095687968415
AT1G01050	4.68082610059807	5.28088182612423	5.00475148734932	4.97790761768224	4.96894580615138	4.34553322134554
AT1G01060	-0.18721730194938	3.03314663305274	0.652819103457473	-0.18721730194938	3.91492342832687	1.79570414027225
AT1G01070	3.16457134617791	4.12451570236574	1.56565369470955	2.32005209119075	3.84872826724455	0.266027298931398
AT1G01080	6.43990875108856	6.55349616544436	7.05983868200301	5.88138083958325	6.06975405755595	5.91957758508162
AT1G01090	7.20931155236568	7.40463958564334	7.61634447270326	6.3050070717227	6.31009503089665	7.20689817348605
AT1G01100	5.85804024952347	5.94895690906431	6.43016528535907	5.19153905500463	4.25870381489729	6.88157007698456
AT1G01110	-0.18721730194938	0.449401566355925	0.293097105188991	-0.18721730194938	-0.18721730194938	-0.18721730194938
AT1G01120	6.85969022282922	6.53845250774525	6.56315964053611	6.0894409923705	5.8334888164785	5.84016171001208
AT1G01130	2.44042177780514	2.64090533000591	0.293097105188991	-0.18721730194938	1.1578188888892	1.92449621525288
AT1G01140	6.52947642658723	5.89091762188911	5.64811985668009	6.21906648427637	5.651314694486	5.46989483396273
AT1G01150	-0.18721730194938	0.889589815868026	-0.18721730194938	-0.18721730194938	-0.18721730194938	-0.18721730194938
AT1G01160	5.90747894364722	5.94895690906431	6.23796076397552	5.32917246468312	4.99977485491986	6.12116860192521
AT1G01170	5.25878235390678	4.84032755206877	4.87429572392986	4.11595839807336	3.97821413543099	3.36175704710675
AT1G01180	4.59289651150301	2.10048225697984	3.30735691557022	3.5670800945761	3.70646440391802	4.29877125045996
AT1G01190	-0.18721730194938	1.22640055642543	0.652819103457473	0.417426526086298	1.1578188888892	0.610403214199339
AT1G01200	1.76804137427686	-0.18721730194938	0.652819103457473	-0.18721730194938	-0.18721730194938	-0.18721730194938
AT1G01210	6.50559513154982	6.64060558533188	5.12438282095513	6.5639742640109	5.8334888164785	5.56187648684797
AT1G01220	3.80960919793216	4.62935085544546	3.88333571633735	3.38962760081566	3.46271340971824	3.57299739017898
AT1G01225	1.53624672481717	2.52357547186253	1.56565369470955	1.85669402166003	-0.18721730194938	0.888211107834421
AT1G01230	5.2201730086392	4.68505723627532	4.39249169395251	5.03937719620946	3.70646440391802	4.69160247320102
AT1G01240	5.38631607158506	5.46717916377236	4.04368848082684	4.86925371350666	4.0970294319081	3.53315150284136
AT1G01250	0.468657375871254	0.449401566355925	1.38578791456053	0.417426526086298	1.1578188888892	0.610403214199339
AT1G01260	3.08085225779531	4.71212403867918	3.77780626651911	3.99705576565433	4.25870381489729	4.20043885244647
AT1G01290	2.14305319301123	3.11654895636827	3.14707866945198	3.86746615230246	2.09103936834684	2.81516162749068
AT1G01300	5.27770634166154	5.83044520136603	6.34651821752203	5.37757830321857	6.22132355408737	6.19962753811767
AT1G01310	-0.18721730194938	1.22640055642543	-0.18721730194938	-0.18721730194938	1.53985298001697	-0.18721730194938
AT1G01320	7.83199163026192	8.17148649749733	8.94813984653562	7.79264453370431	7.62735368011763	8.29484836050704
AT1G01340	3.91005513303539	2.10048225697984	3.88333571633735	4.26063507093804	3.91492342832687	4.92504698193768
AT1G01350	4.00396054543134	3.53557532781228	3.98166932537988	4.2946457499078	2.9341012742414	3.44999802118477
AT1G01355	-0.18721730194938	-0.18721730194938	-0.18721730194938	-0.18721730194938	1.1578188888892	-0.18721730194938
AT1G01360	2.89725890902407	2.10048225697984	2.42999172329771	2.18150255830567	2.48888757229871	2.15199852040619
AT1G01370	-0.18721730194938	-0.18721730194938	0.652819103457473	0.417426526086298	1.1578188888892	-0.18721730194938
AT1G01380	-0.18721730194938	2.10048225697984	1.18026035490314	-0.18721730194938	2.48888757229871	0.266027298931398
AT1G01390	2.29938566958621	2.94462537542999	2.42999172329771	2.02821997847147	1.84161044487975	1.92449621525288
AT1G01420	4.13426635631065	4.24060392805282	4.67316868064465	3.45123571388645	3.16923560426223	3.98105023656484
AT1G01430	5.89527719044026	5.76732668249835	5.74463695379399	5.01917695155114	4.49343624063169	4.79630632564257
AT1G01440	4.17521125166274	4.08364670601638	4.24189501289482	3.95513940986565	4.25870381489729	4.20043885244647
AT1G01448	3.08085225779531	3.11654895636827	4.04368848082684	2.56266795608249	1.53985298001697	3.75722146984788
AT1G01450	-0.18721730194938	-0.18721730194938	0.293097105188991	-0.18721730194938	-0.18721730194938	-0.18721730194938
AT1G01453	-0.18721730194938	-0.18721730194938	0.652819103457473	-0.18721730194938	-0.18721730194938	0.888211107834421
AT1G01470	8.38596328182576	8.10156062235044	7.64913261118783	7.92881652615303	8.64866965779836	7.52393681339201
AT1G01480	2.56888988707327	4.8646557174599	2.60474568686884	4.62381035287636	6.05515151884823	4.87810515742608
AT1G01490	7.33659198196937	6.89799016248909	5.60762940067554	6.79538156507452	6.38206577908636	5.9652100214848
AT1G01500	4.76370302103182	4.34804264745756	5.29982810255559	4.77602520725049	3.91492342832687	5.72991994120772
AT1G01510	3.95777174549706	3.65197149008951	3.81384728000342	3.67430993551126	3.16923560426223	4.43474187971371
AT1G01520	-0.18721730194938	-0.18721730194938	-0.18721730194938	-0.18721730194938	1.1578188888892	0.266027298931398
AT1G01540	4.86728263282344	5.26268936023186	4.85712698588108	4.84650528031157	4.30880522267287	4.89392274898429
